Name,City,Attachments,Status,Gender,Your city,Employment status,Your employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Have you completed your higher education in Germany?,Your main technology,Just a few more general questions,Company size,Annual Brutto salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",About you (anonymously),Working hours per week
,,,,,,Full-time employee,,Other,Product Specialist,16,8,Senior,,NodeJS,"SAP / ABAP,Kubernetes,Docker,Javascript / Typescript,AWS,Azure",0,"German,English",No,,,1000+,74000,84000,75000,30,,,,,,
,,,,,,Full-time employee,,Software Engineer,,6,6,Senior,,C# / .NET,"Javascript / Typescript,Angular,Azure",0,German,Yes,,,101-1000,65000,75000,65000,30,,,,,,
,,,,,,Full-time employee,,Data Scientist,,2,2,Middle,,Python,"R,SQL,AWS,Azure,Docker",2,"English,German",Yes,,,11-50,52000,52000,48000,31,,,,,,
,Aachen,,,,,Working student,,Other,Research Assistant,4,1,Junior,,Python,"R,Other",1,English,Yes,,,1000+,5113,5113,,,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,6,2,Middle,,Python,"SQL,Other",2,English,No,,,101-1000,70000,70000,51000,28,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,5,5,Senior,,Python,"SQL,AWS,Docker",4,English,Yes,,,101-1000,88000,88000,81000,29,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,6,3,Senior,,Scala,,3,"English,Russian",No,,,51-100,80000,88000,80000,24,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,17,2,Middle,,Other,"AWS,Kubernetes,Terraform,Docker",0,English,No,Terraform,,1000+,84000,98000,65000,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,12,5,Lead,,Java,"Javascript / Typescript,Angular,NodeJS,AWS,Terraform,Docker,Other",5,"English,Russian",No,,,101-1000,80000,2000,1500,33,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,7,5,Lead,,C# / .NET,".NET,SQL,Azure,Docker",5,English,No,,,101-1000,76000,78000,67000,27,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,20,10,Lead,,Java,"PHP,Python, React,Javascript / Typescript,SQL,Google Cloud,Kubernetes,Terraform,Docker",4,English,No,,,1000+,95000,153000,125000,30,,,,,,
,Berlin,,,,,Full-time employee,,Frontend Developer,,9,2,Middle,,JavaScript / Typescript,"Angular,Javascript / Typescript",1,"English,German",Yes,,,51-100,60000,60000,45000,28,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,10,3,Senior,,Swift,,2,English,No,,,1000+,95000,106000,90000,24,,,,,,
,Berlin,,,,,Full-time employee,,Mobile Developer,,8,5,Senior,,Kotlin,Java / Scala,2,English,No,,,101-1000,71000,71000,65000,26,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,11,6,Senior,,Ruby,"Javascript / Typescript,Go,Kubernetes",3,"English,Russian",No,,,1000+,102000,160000,146000,30,,,,,,
,Berlin,,,,,Full-time employee,,DevOps,,8,1,Senior,,Python,"AWS,Google Cloud,Kubernetes,Terraform,Docker",1,"English,Russian",Yes,,,101-1000,85000,85000,,24,,,,,,
,Berlin,,,,,Self-employed (freelancer),,Software Engineer,,26,11,Senior,,C / C++,"Python,C / C++,SQL",0,English,No,,,11-50,,,,,65,120,4,0,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,2,Senior,,JavaScript / Typescript,"Javascript / Typescript,NodeJS,AWS",2,English,No,,,1000+,77386,83500,70500,30,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,16,6,Senior,,Java,"PHP,Javascript / Typescript,Docker",6,"English,German,Russian",No,,,101-1000,77000,88000,82000,33,,,,,,
,Berlin,,,,,Full-time employee,,ML Engineer,,9,3,Senior,,Python,"SQL,AWS,Terraform,Docker,Kubernetes",2,English,No,,,1000+,88000,122000,92000,28,,,,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,10,4,Lead,,Java,Kotlin,2,English,No,,,101-1000,102000,112000,82,28,,,,,,
,Berlin,,,,,Full-time employee,,Software Engineer,,5,2,Senior,,JavaScript / Typescript,"Javascript / Typescript,Ruby,AWS,Terraform",0,English,No,,,1000+,125000,262000,75000,27,,,,,,
,Berlin,,,,,Full-time employee,,Data Scientist,,7,3,Senior,,Python,,0,English,No,,,1000+,67000,75000,63000,28,,,,,,
,Berlin,,,,,Full-time employee,,QA Engineer,,15,8,Lead,,Kotlin,"Javascript / Typescript,Java / Scala",3,English,No,,,51-100,69000,75900,75900,31,,,,,,
,Berlin,,,,,Self-employed (freelancer),,Tech Lead / Team Lead,,14,10,Lead,,JavaScript / Typescript,"Javascript / Typescript, React,NodeJS,AWS,Docker",1,"English,German,Russian",Yes,,,101-1000,,,,,90,2150,10,,,
,Berlin,,,,,Full-time employee,,Tech Lead / Team Lead,,13,7,Lead,,PHP,"Javascript / Typescript,SQL,AWS",4,English,No,,,101-1000,65000,65000,65000,27,,,,,,
